query,T_ms,node,class,d_vec_ms,d_full_ms,delta_ms,vec_in_T,full_in_T,reason
serf25,5.0,serf21,TP,2.999387,3.741459,0.742072,True,True,OK
serf25,5.0,serf22,TP,2.550757,4.119082,1.568325,True,True,OK
serf25,5.0,serf23,TP,0.457873,4.879715,4.421842,True,True,OK
serf25,5.0,serf24,FP,0.952602,7.883978,6.931376,True,False,"Vec OK, full RTT too high (height/adjust pushed over)"
serf25,5.0,serf27,FP,0.974615,9.666887,8.692271,True,False,"Vec OK, full RTT too high (height/adjust pushed over)"
serf25,15.0,serf21,TP,2.999387,3.741459,0.742072,True,True,OK
serf25,15.0,serf22,TP,2.550757,4.119082,1.568325,True,True,OK
serf25,15.0,serf23,TP,0.457873,4.879715,4.421842,True,True,OK
serf25,15.0,serf24,TP,0.952602,7.883978,6.931376,True,True,OK
serf25,15.0,serf26,TP,11.06572,11.242357,0.176637,True,True,OK
serf25,15.0,serf27,TP,0.974615,9.666887,8.692271,True,True,OK
serf25,15.0,serf28,TP,13.973797,14.107142,0.133345,True,True,OK
serf25,15.0,serf29,TP,14.7007,14.673282,-0.027417,True,True,OK
serf25,15.0,serf1,FP,14.887083,18.741592,3.854509,True,False,"Vec OK, full RTT too high (height/adjust pushed over)"
serf25,15.0,serf6,FP,14.988725,22.401097,7.412372,True,False,"Vec OK, full RTT too high (height/adjust pushed over)"
serf30,15.0,serf21,TP,14.267363,8.613069,-5.654294,True,True,OK
serf30,15.0,serf22,TP,14.445206,9.617166,-4.828041,True,True,OK
serf30,15.0,serf23,FN,16.104264,14.129741,-1.974524,False,True,Missed node (inside full RTT threshold)
serf30,15.0,serf26,FN,17.994423,11.774693,-6.219729,False,True,Missed node (inside full RTT threshold)
serf30,15.0,serf28,FN,20.350689,14.087668,-6.263021,False,True,Missed node (inside full RTT threshold)
serf30,15.0,serf29,FN,21.100711,14.676928,-6.423783,False,True,Missed node (inside full RTT threshold)
